1522654578.168798000, -4.33056, 226.952, -1.45032, 
1522654578.268874000, -3.63649, 228.772, -1.44271, 
1522654578.368964000, -3.55826, 228.678, -1.42764, 
1522654578.469056000, -1.62972, 228.855, -1.6809, 
1522654578.569165000, -1.62308, 228.857, -1.65225, 
1522654578.669239000, -0.722018, 228.194, -1.40268, 
1522654578.769315000, -0.669705, 228.263, -1.51763, 
1522654578.869409000, -0.373606, 228.185, -1.3621, 
1522654578.969492000, 1.02268, 227.995, -1.65826, 
1522654579.070321000, 0.949264, 227.765, -1.56171, 
1522654579.169684000, 1.99078, 227.442, -1.43934, 
1522654579.269878000, 2.02751, 227.421, -1.5109, 
1522654579.370009000, 2.38988, 227.295, -1.52302, 
1522654579.469949000, 4.23466, 224.07, -0.989692, 
1522654579.770196000, 5.52422, 223.808, -0.957054, 
1522654580.070480000, 6.88259, 223.604, -1.00683, 
1522654580.370725000, 8.25376, 223.411, -1.08681, 
1522654580.670982000, 9.61336, 223.252, -1.03336, 
1522654580.971258000, 10.6026, 223.142, -0.95178, 
1522654581.271654000, 11.6602, 223.056, -1.11077, 
1522654581.571958000, 12.5662, 222.955, -1.03829, 
1522654581.872554000, 13.499, 222.873, -0.943495, 
1522654582.172476000, 14.5538, 222.805, -1.09768, 
1522654582.472576000, 15.3074, 222.76, -1.04721, 
1522654582.772832000, 16.0016, 222.733, -1.01172, 
1522654583.073093000, 16.8501, 222.679, -1.04444, 
1522654583.373363000, 17.6617, 222.639, -1.14207, 
1522654583.675464000, 18.6224, 222.564, -1.08868, 
1522654583.974236000, 19.2966, 222.583, -1.25593, 
1522654584.274160000, 20.1412, 222.533, -1.21533, 
1522654584.574413000, 20.9843, 222.488, -1.22338, 
1522654584.874693000, 21.8549, 222.496, -1.32966, 
1522654585.174940000, 23.0082, 222.418, -1.28291, 
1522654585.475213000, 23.7284, 222.45, -1.2001, 
1522654585.775478000, 24.6963, 222.481, -1.26989, 
1522654586.075782000, 25.6181, 222.449, -1.33927, 
1522654586.375995000, 26.5633, 222.503, -1.28754, 
1522654586.676262000, 27.8491, 222.476, -1.44597, 
1522654586.976527000, 28.7892, 222.502, -1.32549, 
1522654587.276871000, 29.8128, 222.541, -1.20019, 
1522654587.577078000, 30.947, 222.548, -1.28173, 
1522654587.878464000, 32.0919, 222.551, -1.35252, 
1522654588.177638000, 33.4489, 222.504, -1.2789, 
1522654588.477854000, 34.5261, 222.553, -1.57236, 
1522654588.778113000, 35.59, 222.515, -1.54362, 
1522654589.078489000, 37.1225, 222.37, -1.16655, 
1522654589.378633000, 38.3406, 222.249, -1.37664, 
1522654589.678933000, 39.9651, 222.047, -1.32228, 
1522654589.979159000, 41.2068, 221.884, -1.29041, 
1522654590.279421000, 42.4993, 221.712, -1.36673, 
1522654590.580293000, 43.8507, 221.51, -1.37428, 
1522654590.879994000, 45.3353, 221.349, -1.32754, 
1522654591.180215000, 47.0247, 221.193, -1.54492, 
1522654591.480556000, 48.1319, 221.024, -1.44271, 
1522654591.782376000, 49.5527, 220.93, -1.27415, 
1522654592.081026000, 50.8659, 220.863, -1.56371, 
1522654592.381283000, 52.172, 220.707, -1.39446, 
1522654592.681531000, 53.6729, 220.675, -1.33241, 
1522654592.981802000, 54.8176, 220.669, -1.49009, 
1522654593.282063000, 56.076, 220.611, -1.33475, 
1522654593.582517000, 57.2783, 220.544, -1.27898, 
1522654593.882591000, 58.3149, 220.513, -1.42601, 
1522654594.182864000, 59.6108, 220.445, -1.40976, 
1522654594.483155000, 60.5411, 220.397, -1.32413, 
1522654594.783379000, 61.4835, 220.327, -1.62535, 
1522654595.083664000, 62.3493, 220.281, -1.3925, 
1522654595.383939000, 63.1819, 220.238, -1.35142, 
1522654595.684236000, 64.3426, 220.17, -1.60486, 
1522654595.984431000, 64.8833, 220.147, -1.52736, 
1522654596.284741000, 65.843, 220.04, -1.42289, 
1522654596.584987000, 66.7075, 219.996, -1.66034, 
1522654596.885243000, 67.4791, 219.875, -1.56409, 
1522654597.185499000, 68.4957, 219.775, -1.45724, 
1522654597.485757000, 69.3132, 219.731, -1.69665, 
1522654597.786042000, 70.0803, 219.61, -1.50919, 
1522654598.086291000, 70.9866, 219.492, -1.34394, 
1522654598.386540000, 71.8256, 219.446, -1.6206, 
1522654598.686828000, 72.8792, 219.327, -1.57351, 
1522654598.987067000, 73.6808, 219.225, -1.39666, 
1522654599.287336000, 74.5713, 219.156, -1.5703, 
1522654599.587616000, 75.4525, 219.066, -1.56135, 
1522654599.887883000, 76.5691, 218.955, -1.45022, 
1522654600.188979000, 77.9049, 218.846, -1.6488, 
1522654600.488423000, 78.7438, 218.761, -1.58122, 
1522654600.788671000, 79.72, 218.675, -1.44467, 
1522654601.089051000, 80.7616, 218.596, -1.56817, 
1522654601.389321000, 81.7864, 218.505, -1.69444, 
1522654601.689466000, 82.9761, 218.41, -1.43285, 
1522654601.989709000, 83.9834, 218.364, -1.61485, 
1522654602.290014000, 84.9474, 218.324, -1.72391, 
1522654602.590255000, 86.0932, 218.277, -1.51074, 
1522654602.890661000, 87.1571, 218.277, -1.54202, 
1522654603.190801000, 88.2965, 218.256, -1.78349, 
1522654603.491024000, 89.2936, 218.285, -1.58318, 
1522654603.791320000, 90.4106, 218.327, -1.60837, 
1522654604.091554000, 91.4882, 218.348, -1.80673, 
1522654604.392118000, 92.6841, 218.518, -1.57902, 
1522654604.692073000, 94.0233, 218.688, -1.5976, 
1522654604.992353000, 95.1278, 218.871, -1.91619, 
1522654605.292610000, 96.4056, 219.194, -1.68386, 
